date,hour,value,RIC
2023-12-08,8,116.61,HEEGRAUCH
2023-12-08,7,112.77,HEEGRAUCH
2023-12-08,6,87.04,HEEGRAUCH
2023-12-08,5,80,HEEGRAUCH
2023-12-08,4,79.52,HEEGRAUCH
2023-12-08,3,81.43,HEEGRAUCH
2023-12-08,2,101.01,HEEGRAUCH
2023-12-08,1,95,HEEGRAUCH
2023-12-07,24,87.08,HEEGRAUCH
2023-12-07,23,107.34,HEEGRAUCH
2023-12-07,22,112.4,HEEGRAUCH
2023-12-07,21,125.12,HEEGRAUCH
2023-12-07,20,132.34,HEEGRAUCH
2023-12-07,19,144.97,HEEGRAUCH
2023-12-07,18,151.37,HEEGRAUCH
2023-12-07,17,138.26,HEEGRAUCH
2023-12-07,16,133.05,HEEGRAUCH
2023-12-07,15,126.47,HEEGRAUCH
2023-12-07,14,124.93,HEEGRAUCH
2023-12-07,13,120,HEEGRAUCH
2023-12-07,12,123.5,HEEGRAUCH
2023-12-07,11,125.5,HEEGRAUCH
2023-12-07,10,137.7,HEEGRAUCH
2023-12-07,9,150,HEEGRAUCH
